Team,Season,home_goals,away_goals
Stade de Reims,2013/2014,0,0
FC Sochaux-Montbéliard,2013/2014,5,1
Évian Thonon Gaillard FC,2013/2014,3,0
AS Saint-Étienne,2013/2014,2,1
SC Bastia,2013/2014,3,0
Stade Rennais FC,2013/2014,0,0
OGC Nice,2013/2014,2,0
FC Lorient,2013/2014,1,0
Paris Saint-Germain,2013/2014,0,1
Montpellier Hérault SC,2013/2014,1,1
Girondins de Bordeaux,2013/2014,1,1
Olympique de Marseille,2013/2014,0,2
LOSC Lille,2013/2014,0,0
En Avant de Guingamp,2013/2014,1,0
Toulouse FC,2013/2014,2,0
AS Monaco,2013/2014,1,1
FC Nantes,2013/2014,1,3
SC Bastia,2013/2014,2,2
Valenciennes FC,2013/2014,2,0
FC Lorient,2013/2014,4,1
FC Sochaux-Montbéliard,2013/2014,4,1
Stade Rennais FC,2013/2014,2,0
AC Ajaccio,2013/2014,3,0
Paris Saint-Germain,2013/2014,1,2
AS Saint-Étienne,2013/2014,2,1
Olympique Lyonnais,2013/2014,5,1
Évian Thonon Gaillard FC,2013/2014,3,0
OGC Nice,2013/2014,1,0
Stade de Reims,2013/2014,1,1
Paris Saint-Germain,2014/2015,2,2
Olympique de Marseille,2014/2015,3,3
SM Caen,2014/2015,0,3
AS Saint-Étienne,2014/2015,0,2
FC Metz,2014/2015,0,0
Stade Rennais FC,2014/2015,2,0
FC Lorient,2014/2015,1,2
Girondins de Bordeaux,2014/2015,0,1
RC Lens,2014/2015,1,0
Toulouse FC,2014/2015,3,2
SM Caen,2014/2015,1,1
Paris Saint-Germain,2014/2015,1,3
En Avant de Guingamp,2014/2015,1,2
AS Saint-Étienne,2014/2015,0,1
Toulouse FC,2014/2015,2,0
Stade Rennais FC,2014/2015,0,0
Évian Thonon Gaillard FC,2014/2015,2,0
Stade de Reims,2014/2015,1,1
SC Bastia,2014/2015,0,1
Montpellier Hérault SC,2014/2015,5,1
Olympique de Marseille,2014/2015,1,0
AS Monaco,2014/2015,1,3
FC Lorient,2014/2015,2,1
FC Nantes,2014/2015,0,2
OGC Nice,2014/2015,2,7
Girondins de Bordeaux,2014/2015,3,0
Montpellier Hérault SC,2014/2015,1,0
LOSC Lille,2014/2015,2,0
FC Metz,2014/2015,1,0
RC Lens,2014/2015,0,2
Toulouse FC,2014/2015,2,1
SC Bastia,2014/2015,1,0
AS Saint-Étienne,2014/2015,1,1
Paris Saint-Germain,2014/2015,1,2
RC Lens,2014/2015,2,1
SM Caen,2014/2015,3,2
Stade de Reims,2014/2015,1,1
Évian Thonon Gaillard FC,2014/2015,2,0
Stade Rennais FC,2014/2015,1,1
Olympique Lyonnais,2014/2015,1,3
Montpellier Hérault SC,2014/2015,2,0
FC Nantes,2014/2015,1,2
OGC Nice,2014/2015,1,0
Girondins de Bordeaux,2014/2015,1,2
En Avant de Guingamp,2014/2015,3,1
LOSC Lille,2014/2015,2,0
FC Lorient,2014/2015,1,0
AS Monaco,2014/2015,1,1
FC Metz,2014/2015,3,0
Olympique de Marseille,2014/2015,2,0
Olympique Lyonnais,2014/2015,0,0
Stade Rennais FC,2014/2015,0,1
Évian Thonon Gaillard FC,2014/2015,1,0
RC Lens,2014/2015,1,0
Girondins de Bordeaux,2014/2015,3,1
Paris Saint-Germain,2014/2015,2,3
SM Caen,2014/2015,2,2
Toulouse FC,2014/2015,2,0
AS Saint-Étienne,2014/2015,0,0
Stade de Reims,2014/2015,0,0
LOSC Lille,2014/2015,1,0
Montpellier Hérault SC,2014/2015,1,1
En Avant de Guingamp,2014/2015,2,0
FC Metz,2014/2015,2,0
FC Nantes,2014/2015,2,0
OGC Nice,2014/2015,1,0
SC Bastia,2014/2015,2,1
AS Monaco,2014/2015,2,0
FC Lorient,2014/2015,2,3
Olympique Lyonnais,2014/2015,3,0
Évian Thonon Gaillard FC,2014/2015,1,2
SM Caen,2014/2015,5,1
Paris Saint-Germain,2014/2015,1,1
Olympique de Marseille,2014/2015,1,1
Stade de Reims,2014/2015,2,1
Girondins de Bordeaux,2014/2015,0,0
RC Lens,2014/2015,2,0
AS Saint-Étienne,2014/2015,0,2
Toulouse FC,2014/2015,1,2
Stade Rennais FC,2014/2015,1,2
FC Lorient,2014/2015,3,2
OGC Nice,2014/2015,2,3
Olympique Lyonnais,2014/2015,2,3
LOSC Lille,2014/2015,1,1
FC Metz,2014/2015,3,1
FC Nantes,2014/2015,2,1
En Avant de Guingamp,2014/2015,2,3
Montpellier Hérault SC,2014/2015,0,4
SC Bastia,2014/2015,1,0
AS Monaco,2014/2015,0,2
Stade Rennais FC,2014/2015,2,0
Paris Saint-Germain,2014/2015,1,0
Toulouse FC,2014/2015,3,0
FC Metz,2014/2015,3,1
SM Caen,2014/2015,3,0
RC Lens,2014/2015,3,3
Girondins de Bordeaux,2014/2015,2,1
AS Saint-Étienne,2014/2015,0,0
Évian Thonon Gaillard FC,2014/2015,3,2
Olympique de Marseille,2014/2015,1,0
Olympique Lyonnais,2014/2015,0,5
SC Bastia,2014/2015,1,1
OGC Nice,2014/2015,2,0
FC Nantes,2014/2015,1,2
LOSC Lille,2014/2015,2,1
AS Monaco,2014/2015,0,1
Montpellier Hérault SC,2014/2015,0,0
Stade de Reims,2014/2015,1,3
Évian Thonon Gaillard FC,2014/2015,3,0
En Avant de Guingamp,2014/2015,1,1
AS Monaco,2014/2015,4,1
LOSC Lille,2014/2015,0,1
En Avant de Guingamp,2014/2015,0,1
OGC Nice,2014/2015,0,0
Montpellier Hérault SC,2014/2015,0,2
FC Nantes,2014/2015,1,1
SC Bastia,2014/2015,2,0
Évian Thonon Gaillard FC,2014/2015,6,2
Stade de Reims,2014/2015,3,1
Olympique Lyonnais,2014/2015,2,1
Paris Saint-Germain,2014/2015,4,2
Stade Rennais FC,2014/2015,1,1
RC Lens,2014/2015,2,0
SM Caen,2014/2015,1,0
Toulouse FC,2014/2015,3,0
Girondins de Bordeaux,2014/2015,0,0
Olympique de Marseille,2014/2015,2,1
FC Metz,2014/2015,0,0
FC Lorient,2014/2015,3,1
AS Saint-Étienne,2014/2015,1,2
OGC Nice,2014/2015,1,2
Stade de Reims,2014/2015,4,1
Olympique Lyonnais,2014/2015,0,2
LOSC Lille,2014/2015,1,0
En Avant de Guingamp,2014/2015,2,1
Montpellier Hérault SC,2014/2015,2,3
FC Nantes,2014/2015,1,0
Évian Thonon Gaillard FC,2014/2015,4,2
AS Saint-Étienne,2014/2015,0,0
SC Bastia,2014/2015,1,1
Girondins de Bordeaux,2014/2015,0,0
Toulouse FC,2014/2015,1,0
FC Lorient,2014/2015,3,2
AS Monaco,2014/2015,0,1
FC Metz,2014/2015,2,0
FC Nantes,2014/2015,4,0
Olympique de Marseille,2014/2015,2,1
RC Lens,2014/2015,0,0
SM Caen,2014/2015,1,4
Paris Saint-Germain,2014/2015,0,1
En Avant de Guingamp,2014/2015,1,1
AS Saint-Étienne,2014/2015,1,0
SC Bastia,2014/2015,1,1
Montpellier Hérault SC,2014/2015,0,0
Évian Thonon Gaillard FC,2014/2015,1,0
OGC Nice,2014/2015,0,0
Olympique Lyonnais,2014/2015,0,0
LOSC Lille,2014/2015,1,1
Stade Rennais FC,2014/2015,1,0
Stade de Reims,2014/2015,1,0
FC Metz,2014/2015,2,0
Toulouse FC,2014/2015,2,0
Girondins de Bordeaux,2014/2015,0,1
AS Monaco,2014/2015,1,0
Paris Saint-Germain,2014/2015,1,1
LOSC Lille,2014/2015,1,2
FC Nantes,2014/2015,0,0
FC Lorient,2014/2015,1,3
Olympique de Marseille,2014/2015,1,1
RC Lens,2014/2015,3,3
AS Saint-Étienne,2014/2015,1,0
Évian Thonon Gaillard FC,2014/2015,0,2
OGC Nice,2014/2015,0,0
Olympique Lyonnais,2014/2015,1,1
Stade de Reims,2014/2015,2,2
En Avant de Guingamp,2014/2015,0,2
Montpellier Hérault SC,2014/2015,0,0
SC Bastia,2014/2015,0,2
SM Caen,2014/2015,2,2
Stade Rennais FC,2014/2015,2,1
LOSC Lille,2014/2015,2,1
RC Lens,2014/2015,4,1
FC Lorient,2014/2015,1,0
Montpellier Hérault SC,2014/2015,0,2
FC Nantes,2014/2015,1,0
AS Monaco,2014/2015,0,1
Toulouse FC,2014/2015,3,1
FC Metz,2014/2015,0,0
Girondins de Bordeaux,2014/2015,1,1
Olympique de Marseille,2014/2015,2,2
Stade de Reims,2014/2015,1,1
Stade Rennais FC,2014/2015,0,1
Olympique Lyonnais,2014/2015,2,1
SC Bastia,2014/2015,2,0
SM Caen,2014/2015,2,3
Évian Thonon Gaillard FC,2014/2015,1,2
Paris Saint-Germain,2014/2015,0,0
OGC Nice,2014/2015,2,1
En Avant de Guingamp,2014/2015,1,0
AS Saint-Étienne,2014/2015,1,1
Olympique Lyonnais,2014/2015,1,5
OGC Nice,2014/2015,2,1
Girondins de Bordeaux,2014/2015,1,2
AS Monaco,2014/2015,1,3
LOSC Lille,2014/2015,0,1
RC Lens,2014/2015,4,1
FC Nantes,2014/2015,3,1
FC Metz,2014/2015,1,0
FC Lorient,2014/2015,2,0
Olympique de Marseille,2014/2015,1,6
Paris Saint-Germain,2014/2015,3,2
Toulouse FC,2014/2015,1,0
Stade Rennais FC,2014/2015,3,0
SM Caen,2014/2015,2,1
Olympique Lyonnais,2014/2015,0,0
AS Saint-Étienne,2014/2015,2,3
SC Bastia,2014/2015,3,0
Stade de Reims,2014/2015,3,1
Évian Thonon Gaillard FC,2014/2015,2,1
En Avant de Guingamp,2014/2015,1,2
Toulouse FC,2014/2015,1,0
Paris Saint-Germain,2014/2015,0,0
Olympique de Marseille,2014/2015,0,1
FC Lorient,2014/2015,2,0
RC Lens,2014/2015,0,1
FC Metz,2014/2015,2,0
AS Monaco,2014/2015,0,1
Girondins de Bordeaux,2014/2015,1,3
SM Caen,2014/2015,0,2
Stade Rennais FC,2014/2015,0,0
En Avant de Guingamp,2014/2015,0,0
FC Metz,2014/2015,0,0
Montpellier Hérault SC,2014/2015,1,0
Olympique de Marseille,2014/2015,0,4
OGC Nice,2014/2015,1,2
FC Lorient,2014/2015,3,1
AS Monaco,2014/2015,1,3
FC Nantes,2014/2015,0,0
LOSC Lille,2014/2015,2,0
Girondins de Bordeaux,2014/2015,2,1
RC Lens,2014/2015,2,1
Olympique Lyonnais,2014/2015,1,3
Stade de Reims,2014/2015,3,1
Stade Rennais FC,2014/2015,0,3
Paris Saint-Germain,2014/2015,2,3
Toulouse FC,2014/2015,3,2
AS Saint-Étienne,2014/2015,1,1
SC Bastia,2014/2015,3,1
SM Caen,2014/2015,1,2
Évian Thonon Gaillard FC,2014/2015,2,2
Olympique de Marseille,2014/2015,1,0
AS Monaco,2014/2015,0,3
LOSC Lille,2014/2015,0,1
FC Lorient,2014/2015,0,0
SC Bastia,2014/2015,2,0
FC Metz,2014/2015,3,1
OGC Nice,2014/2015,0,1
En Avant de Guingamp,2014/2015,1,0
FC Nantes,2014/2015,1,0
Montpellier Hérault SC,2014/2015,1,0
Stade de Reims,2014/2015,1,2
Évian Thonon Gaillard FC,2014/2015,1,1
Girondins de Bordeaux,2014/2015,2,0
Toulouse FC,2014/2015,0,1
AS Saint-Étienne,2014/2015,2,2
RC Lens,2014/2015,3,1
Stade Rennais FC,2014/2015,1,1
SM Caen,2014/2015,1,0
Olympique de Marseille,2014/2015,1,0
Paris Saint-Germain,2014/2015,1,3
FC Metz,2014/2015,1,1
En Avant de Guingamp,2014/2015,0,2
SC Bastia,2014/2015,1,2
AS Monaco,2014/2015,0,3
FC Lorient,2014/2015,3,5
LOSC Lille,2014/2015,6,1
Olympique Lyonnais,2014/2015,2,4
OGC Nice,2014/2015,2,1
Montpellier Hérault SC,2014/2015,1,0
FC Nantes,2014/2015,1,1
AS Saint-Étienne,2014/2015,1,0
Stade de Reims,2014/2015,2,0
RC Lens,2014/2015,3,1
Girondins de Bordeaux,2014/2015,0,0
Évian Thonon Gaillard FC,2014/2015,2,0
Olympique de Marseille,2014/2015,0,2
Toulouse FC,2014/2015,4,1
Stade Rennais FC,2014/2015,0,0
Paris Saint-Germain,2014/2015,0,2
SM Caen,2014/2015,1,1
FC Nantes,2014/2015,2,1
Olympique Lyonnais,2014/2015,3,0
Stade de Reims,2014/2015,2,3
Montpellier Hérault SC,2014/2015,0,1
AS Monaco,2014/2015,2,1
FC Lorient,2014/2015,0,4
En Avant de Guingamp,2014/2015,6,0
SC Bastia,2014/2015,0,1
OGC Nice,2014/2015,5,0
LOSC Lille,2014/2015,3,2
SM Caen,2014/2015,1,1
AS Saint-Étienne,2014/2015,1,2
Toulouse FC,2014/2015,2,1
Olympique de Marseille,2014/2015,0,4
Girondins de Bordeaux,2014/2015,1,1
FC Metz,2014/2015,2,0
Paris Saint-Germain,2014/2015,1,2
FC Lorient,2014/2015,1,1
RC Lens,2014/2015,2,1
Stade Rennais FC,2014/2015,1,0
Montpellier Hérault SC,2014/2015,2,1
Évian Thonon Gaillard FC,2014/2015,3,2
FC Nantes,2014/2015,1,0
AS Monaco,2014/2015,0,1
SC Bastia,2014/2015,3,0
LOSC Lille,2014/2015,1,4
Stade de Reims,2014/2015,3,2
Olympique Lyonnais,2014/2015,0,1
En Avant de Guingamp,2014/2015,2,1
OGC Nice,2014/2015,2,3
SC Bastia,2014/2015,1,1
Stade Rennais FC,2014/2015,0,1
Stade de Reims,2014/2015,4,2
En Avant de Guingamp,2014/2015,4,0
OGC Nice,2014/2015,4,0
Olympique Lyonnais,2014/2015,2,1
LOSC Lille,2014/2015,1,1
Montpellier Hérault SC,2014/2015,1,0
Évian Thonon Gaillard FC,2014/2015,1,0
AS Saint-Étienne,2014/2015,5,0
RC Lens,2014/2015,1,1
Olympique de Marseille,2014/2015,1,3
Girondins de Bordeaux,2014/2015,2,1
FC Nantes,2014/2015,2,0
AS Monaco,2014/2015,2,1
FC Lorient,2014/2015,1,0
FC Metz,2014/2015,1,0
Toulouse FC,2014/2015,2,0
Paris Saint-Germain,2014/2015,1,1
SM Caen,2014/2015,1,0
Évian Thonon Gaillard FC,2014/2015,2,1
AS Saint-Étienne,2014/2015,0,1
Montpellier Hérault SC,2014/2015,0,0
Stade de Reims,2014/2015,0,1
Stade Rennais FC,2014/2015,3,0
SC Bastia,2014/2015,3,1
En Avant de Guingamp,2014/2015,1,0
OGC Nice,2014/2015,2,1
SM Caen,2014/2015,3,3
Olympique Lyonnais,2014/2015,1,1
FC Nantes,2014/2015,0,0
Paris Saint-Germain,2014/2015,0,2
RC Lens,2014/2015,2,1
FC Metz,2014/2015,0,1
FC Lorient,2014/2015,4,0
AS Monaco,2014/2015,0,1
LOSC Lille,2014/2015,1,0
Olympique de Marseille,2014/2015,0,5
Toulouse FC,2014/2015,0,3
Girondins de Bordeaux,2014/2015,1,1
Stade Rennais FC,2014/2015,2,1
SM Caen,2014/2015,0,0
SC Bastia,2014/2015,1,0
Évian Thonon Gaillard FC,2014/2015,0,2
AS Saint-Étienne,2014/2015,2,1
Stade de Reims,2014/2015,3,0
OGC Nice,2014/2015,0,1
En Avant de Guingamp,2014/2015,2,1
Olympique Lyonnais,2014/2015,1,1
Paris Saint-Germain,2014/2015,1,1
FC Lorient,2014/2015,0,2
Olympique de Marseille,2014/2015,1,2
FC Metz,2014/2015,3,0
FC Nantes,2014/2015,0,1
LOSC Lille,2014/2015,3,0
Montpellier Hérault SC,2014/2015,1,1
Girondins de Bordeaux,2014/2015,1,0
RC Lens,2014/2015,2,0
Toulouse FC,2014/2015,0,1
AS Monaco,2014/2015,1,1
Stade Rennais FC,2015/2016,2,1
Stade de Reims,2015/2016,1,2
Paris Saint-Germain,2015/2016,0,1
FC Lorient,2015/2016,0,0
SM Caen,2015/2016,0,1
Angers SCO,2015/2016,0,2
En Avant de Guingamp,2015/2016,1,0
AS Monaco,2015/2016,1,2
AS Saint-Étienne,2015/2016,2,1
GFC Ajaccio,2015/2016,0,0
Paris Saint-Germain,2015/2016,0,2
Montpellier Hérault SC,2015/2016,0,0
LOSC Lille,2015/2016,1,1
FC Lorient,2015/2016,1,1
Olympique Lyonnais,2015/2016,1,1
ES Troyes AC,2015/2016,3,0
SM Caen,2015/2016,0,1
OGC Nice,2015/2016,1,4
GFC Ajaccio,2015/2016,2,0
Angers SCO,2015/2016,1,2
En Avant de Guingamp,2015/2016,0,0
ES Troyes AC,2015/2016,1,0
FC Nantes,2015/2016,0,2
OGC Nice,2015/2016,3,1
Olympique de Marseille,2015/2016,1,2
Stade Rennais FC,2015/2016,1,1
Toulouse FC,2015/2016,3,0
SC Bastia,2015/2016,2,0
AS Saint-Étienne,2015/2016,4,1
AS Monaco,2015/2016,0,1
SM Caen,2015/2016,1,0
Girondins de Bordeaux,2015/2016,2,0
FC Lorient,2015/2016,2,2
Angers SCO,2015/2016,1,0
Olympique de Marseille,2015/2016,0,1
LOSC Lille,2015/2016,0,0
Paris Saint-Germain,2015/2016,0,1
Stade de Reims,2015/2016,3,0
Montpellier Hérault SC,2015/2016,1,1
Olympique Lyonnais,2015/2016,0,1
Stade Rennais FC,2015/2016,0,2
AS Monaco,2015/2016,3,1
En Avant de Guingamp,2015/2016,2,1
SC Bastia,2015/2016,1,1
ES Troyes AC,2015/2016,4,1
AS Saint-Étienne,2015/2016,3,0
OGC Nice,2015/2016,0,1
FC Nantes,2015/2016,2,1
Toulouse FC,2015/2016,5,0
GFC Ajaccio,2015/2016,1,2
GFC Ajaccio,2015/2016,1,2
Angers SCO,2015/2016,0,0
Toulouse FC,2015/2016,2,0
Paris Saint-Germain,2015/2016,1,2
FC Nantes,2015/2016,1,0
Stade de Reims,2015/2016,3,1
Olympique Lyonnais,2015/2016,3,0
Girondins de Bordeaux,2015/2016,2,2
Olympique de Marseille,2015/2016,0,2
LOSC Lille,2015/2016,1,1
LOSC Lille,2015/2016,2,0
SM Caen,2015/2016,1,4
FC Lorient,2015/2016,1,1
Montpellier Hérault SC,2015/2016,2,4
AS Monaco,2015/2016,3,3
SC Bastia,2015/2016,0,0
ES Troyes AC,2015/2016,4,1
Stade Rennais FC,2015/2016,2,2
En Avant de Guingamp,2015/2016,3,0
OGC Nice,2015/2016,2,0
Paris Saint-Germain,2015/2016,0,0
Girondins de Bordeaux,2015/2016,1,0
Stade de Reims,2015/2016,1,2
AS Saint-Étienne,2015/2016,1,0
OGC Nice,2015/2016,0,0
SM Caen,2015/2016,1,1
GFC Ajaccio,2015/2016,0,2
Olympique Lyonnais,2015/2016,0,0
Olympique de Marseille,2015/2016,0,1
Toulouse FC,2015/2016,0,3
AS Monaco,2015/2016,1,2
En Avant de Guingamp,2015/2016,1,0
LOSC Lille,2015/2016,1,2
FC Nantes,2015/2016,1,1
Angers SCO,2015/2016,0,2
Montpellier Hérault SC,2015/2016,2,2
Paris Saint-Germain,2015/2016,0,3
ES Troyes AC,2015/2016,1,1
Stade Rennais FC,2015/2016,1,1
FC Lorient,2015/2016,2,3
Girondins de Bordeaux,2015/2016,1,1
FC Lorient,2015/2016,3,0
GFC Ajaccio,2015/2016,1,1
AS Saint-Étienne,2015/2016,1,0
En Avant de Guingamp,2015/2016,2,1
Toulouse FC,2015/2016,1,1
Olympique Lyonnais,2015/2016,5,1
OGC Nice,2015/2016,1,1
SM Caen,2015/2016,1,1
SC Bastia,2015/2016,1,1
Stade de Reims,2015/2016,2,0
Olympique de Marseille,2015/2016,1,1
Paris Saint-Germain,2015/2016,0,3
Olympique Lyonnais,2015/2016,2,1
Stade Rennais FC,2015/2016,0,2
FC Nantes,2015/2016,0,0
Montpellier Hérault SC,2015/2016,1,0
Angers SCO,2015/2016,1,0
LOSC Lille,2015/2016,1,1
AS Monaco,2015/2016,0,0
FC Nantes,2015/2016,0,0
Toulouse FC,2015/2016,1,0
Olympique Lyonnais,2015/2016,0,1
SC Bastia,2015/2016,1,1
LOSC Lille,2015/2016,0,0
GFC Ajaccio,2015/2016,2,0
Olympique de Marseille,2015/2016,1,0
Montpellier Hérault SC,2015/2016,1,0
Girondins de Bordeaux,2015/2016,1,1
OGC Nice,2015/2016,3,3
SM Caen,2015/2016,2,0
GFC Ajaccio,2015/2016,2,2
AS Saint-Étienne,2015/2016,2,1
OGC Nice,2015/2016,1,1
Girondins de Bordeaux,2015/2016,0,1
En Avant de Guingamp,2015/2016,0,0
ES Troyes AC,2015/2016,4,1
SC Bastia,2015/2016,2,0
Toulouse FC,2015/2016,1,3
FC Lorient,2015/2016,2,2
Olympique Lyonnais,2015/2016,1,0
FC Nantes,2015/2016,2,2
Stade Rennais FC,2015/2016,2,4
LOSC Lille,2015/2016,1,0
AS Monaco,2015/2016,0,2
Stade de Reims,2015/2016,2,2
Angers SCO,2015/2016,2,1
Montpellier Hérault SC,2015/2016,1,0
Olympique de Marseille,2015/2016,1,3
Paris Saint-Germain,2015/2016,0,1
Toulouse FC,2015/2016,4,0
SC Bastia,2015/2016,1,0
Girondins de Bordeaux,2015/2016,2,2
ES Troyes AC,2015/2016,1,3
SM Caen,2015/2016,1,2
FC Lorient,2015/2016,2,1
Olympique de Marseille,2015/2016,1,1
Angers SCO,2015/2016,5,1
AS Saint-Étienne,2015/2016,1,1
GFC Ajaccio,2015/2016,1,0
AS Monaco,2015/2016,3,0
Paris Saint-Germain,2015/2016,0,2
FC Nantes,2015/2016,0,1
Stade Rennais FC,2015/2016,4,0
Stade de Reims,2015/2016,2,0
Montpellier Hérault SC,2015/2016,0,4
LOSC Lille,2015/2016,1,1
Olympique Lyonnais,2015/2016,1,0
OGC Nice,2015/2016,2,0
En Avant de Guingamp,2015/2016,1,2
SC Bastia,2015/2016,2,0
ES Troyes AC,2015/2016,4,0
GFC Ajaccio,2015/2016,3,1
SM Caen,2015/2016,1,0
Olympique de Marseille,2015/2016,0,1
Toulouse FC,2015/2016,1,0
Girondins de Bordeaux,2015/2016,3,0
FC Lorient,2015/2016,3,1
Angers SCO,2015/2016,2,1
AS Saint-Étienne,2015/2016,0,1
Olympique Lyonnais,2015/2016,0,3
OGC Nice,2015/2016,1,0
AS Saint-Étienne,2015/2016,1,4
Montpellier Hérault SC,2015/2016,1,1
En Avant de Guingamp,2015/2016,0,0
Stade Rennais FC,2015/2016,1,1
Paris Saint-Germain,2015/2016,1,2
ES Troyes AC,2015/2016,2,0
Stade de Reims,2015/2016,0,2
FC Nantes,2015/2016,0,0
ES Troyes AC,2015/2016,2,3
AS Monaco,2015/2016,1,1
Girondins de Bordeaux,2015/2016,2,4
FC Lorient,2015/2016,2,1
Toulouse FC,2015/2016,2,0
Olympique de Marseille,2015/2016,1,1
SM Caen,2015/2016,4,1
LOSC Lille,2015/2016,0,0
SC Bastia,2015/2016,0,1
Angers SCO,2015/2016,1,0
Montpellier Hérault SC,2015/2016,2,3
ES Troyes AC,2015/2016,3,1
OGC Nice,2015/2016,0,0
En Avant de Guingamp,2015/2016,4,3
Olympique Lyonnais,2015/2016,1,0
AS Saint-Étienne,2015/2016,1,1
Stade de Reims,2015/2016,4,1
FC Nantes,2015/2016,0,0
Stade Rennais FC,2015/2016,1,0
GFC Ajaccio,2015/2016,1,1
SM Caen,2015/2016,1,2
Angers SCO,2015/2016,2,2
FC Lorient,2015/2016,0,1
AS Monaco,2015/2016,0,0
Olympique de Marseille,2015/2016,1,1
LOSC Lille,2015/2016,3,0
SC Bastia,2015/2016,0,2
Paris Saint-Germain,2015/2016,2,1
Girondins de Bordeaux,2015/2016,4,1
Stade Rennais FC,2015/2016,1,2
AS Saint-Étienne,2015/2016,0,0
GFC Ajaccio,2015/2016,1,1
Stade de Reims,2015/2016,2,0
ES Troyes AC,2015/2016,2,1
Toulouse FC,2015/2016,1,1
En Avant de Guingamp,2015/2016,5,1
Montpellier Hérault SC,2015/2016,0,0
FC Lorient,2015/2016,0,0
AS Monaco,2015/2016,2,2
FC Nantes,2015/2016,4,1
En Avant de Guingamp,2015/2016,3,0
Angers SCO,2015/2016,0,2
Girondins de Bordeaux,2015/2016,0,0
AS Saint-Étienne,2015/2016,0,1
Stade Rennais FC,2015/2016,1,2
ES Troyes AC,2015/2016,6,0
Paris Saint-Germain,2015/2016,0,1
Stade de Reims,2015/2016,1,0
SM Caen,2015/2016,2,1
AS Monaco,2015/2016,1,1
Stade de Reims,2015/2016,2,2
AS Saint-Étienne,2015/2016,2,0
Paris Saint-Germain,2015/2016,0,9
Olympique de Marseille,2015/2016,1,1
Angers SCO,2015/2016,2,0
SM Caen,2015/2016,1,0
OGC Nice,2015/2016,0,2
LOSC Lille,2015/2016,1,2
Olympique Lyonnais,2015/2016,2,2
Girondins de Bordeaux,2015/2016,4,0
FC Lorient,2015/2016,5,1
Montpellier Hérault SC,2015/2016,3,0
SC Bastia,2015/2016,1,1
Toulouse FC,2015/2016,1,0
GFC Ajaccio,2015/2016,3,0
Stade Rennais FC,2015/2016,2,5
FC Nantes,2015/2016,2,0
AS Monaco,2015/2016,0,2
ES Troyes AC,2015/2016,2,1
En Avant de Guingamp,2015/2016,0,1
Girondins de Bordeaux,2015/2016,1,2
Montpellier Hérault SC,2015/2016,2,2
Angers SCO,2015/2016,0,1
Olympique Lyonnais,2015/2016,1,3
LOSC Lille,2015/2016,0,3
AS Saint-Étienne,2015/2016,0,2
OGC Nice,2015/2016,4,1
Olympique de Marseille,2015/2016,2,1
Stade de Reims,2015/2016,3,1
SM Caen,2015/2016,2,0
GFC Ajaccio,2015/2016,0,0
ES Troyes AC,2015/2016,1,0
Paris Saint-Germain,2015/2016,0,2
AS Monaco,2015/2016,4,1
Olympique Lyonnais,2015/2016,0,2
Stade Rennais FC,2015/2016,3,0
Girondins de Bordeaux,2015/2016,0,0
FC Lorient,2015/2016,1,2
FC Nantes,2015/2016,2,1
SC Bastia,2015/2016,4,0
Olympique de Marseille,2015/2016,2,1
Stade de Reims,2015/2016,2,1
Angers SCO,2015/2016,1,3
Toulouse FC,2015/2016,1,1
Montpellier Hérault SC,2015/2016,0,2
LOSC Lille,2015/2016,2,4
OGC Nice,2015/2016,1,1
SM Caen,2015/2016,6,0
AS Saint-Étienne,2015/2016,0,1
En Avant de Guingamp,2015/2016,0,3
FC Lorient,2015/2016,2,0
SM Caen,2015/2016,1,1
Paris Saint-Germain,2015/2016,1,1
SC Bastia,2015/2016,3,2
Angers SCO,2015/2016,0,0
ES Troyes AC,2015/2016,4,1
Stade de Reims,2015/2016,2,0
FC Nantes,2015/2016,1,1
AS Monaco,2015/2016,1,1
Olympique Lyonnais,2015/2016,2,3
Olympique de Marseille,2015/2016,0,1
En Avant de Guingamp,2015/2016,3,2
Toulouse FC,2015/2016,0,0
Girondins de Bordeaux,2015/2016,2,4
LOSC Lille,2015/2016,0,1
OGC Nice,2015/2016,1,0
GFC Ajaccio,2015/2016,2,1
Stade Rennais FC,2015/2016,4,0
SC Bastia,2015/2016,0,0
Montpellier Hérault SC,2015/2016,2,3
FC Lorient,2015/2016,3,0
SM Caen,2015/2016,1,2
Paris Saint-Germain,2015/2016,0,4
En Avant de Guingamp,2015/2016,0,0
Stade Rennais FC,2015/2016,2,0
AS Saint-Étienne,2015/2016,2,0
Stade de Reims,2015/2016,1,0
AS Monaco,2015/2016,6,1
Angers SCO,2015/2016,1,0
ES Troyes AC,2015/2016,1,0
Toulouse FC,2015/2016,2,3
Montpellier Hérault SC,2015/2016,2,0
LOSC Lille,2015/2016,0,1
OGC Nice,2015/2016,2,3
Olympique de Marseille,2015/2016,1,1
GFC Ajaccio,2015/2016,1,0
FC Nantes,2015/2016,4,0
Girondins de Bordeaux,2015/2016,1,0
Olympique Lyonnais,2015/2016,4,1
SC Bastia,2015/2016,1,2
OGC Nice,2015/2016,1,1
FC Nantes,2015/2016,2,0
Olympique Lyonnais,2015/2016,0,4
Olympique de Marseille,2015/2016,2,0
GFC Ajaccio,2015/2016,1,0
Paris Saint-Germain,2015/2016,0,3
